Income,Expenditure,Age,Family_Size
734.8,525.5,18,1
1318.2,746.7,17,4
1318.2,746.7,15,4
912.1,589.2,18,3
4360.1,2983.9,18,5
2997.7,1673.5,22,4
4272.6,1962.5,18,4
4272.6,1962.5,17,4
1176,796,18,4
1176,796,21,4
1458.3,957.7,16,4
1458.3,957.7,15,4
1717.9,1124,15,3
1793.5,1805.4,23,3
2370.7,2276.4,22,4
2370.7,2276.4,21,4
623.8,322.1,15,2
1826.2,1488,21,3
7349.3,6749,20,4
7349.3,6749,17,4
1157.5,866.6,20,3
1756.5,1352,19,3
3757.8,3172,15,3
3864.9,3772.4,23,3
3107.7,2697.8,20,3
1791.5,771,15,5
1002.5,631.5,23,5
1002.5,631.5,21,5
8291.1,3475.6,21,3
2224.9,1877.6,21,1
3095.5,3180.8,23,2
3095.5,3180.8,23,2
966.2,892,20,2
2501.7,1605.5,15,5
2420.1,1631.3,19,4
2420.1,1631.3,18,4
2865.7,1450.8,16,3
2112.5,418.8,17,5
2112.5,418.8,16,5
542.1,307.8,20,3
542.1,307.8,22,3
322.3,296.5,19,2
5038.5,4204,23,4
5038.5,4204,21,4
3882.6,3659.9,19,5
3882.6,3659.9,15,5
3809.7,3845,21,4
3962.6,3187.1,22,4
1312.9,1117.1,20,1
2595.5,2022.2,17,2
4291.3,3722,22,4
2969,2108,16,4
2130.1,1787,22,3
3051.3,1714.8,16,3
9311.4,3423,18,6
2508.9,2287.7,20,3
3104.4,2756,15,3
881.7,764,21,4
881.7,764,17,4
1936.3,1861.7,15,3
808.7,957.8,15,6
1897.2,1219.7,23,3
1245.6,748.1,18,4
2877.5,715.1,16,4
3193.3,1836.6,19,5
3193.3,1836.6,21,5
1277.2,1274.1,17,3
1553.2,1225.3,21,4
1890.5,578.5,18,5
1890.5,578.5,15,5
3158.6,2295.2,19,5
2846.4,3011.1,21,1
7950.7,7785.2,17,4
1973.3,1655.7,23,5
1973.3,1655.7,21,5
2445.1,2054,21,2
1179.1,867.5,20,1
3038.3,2073.6,23,3
2234.7,2744.9,22,4
2234.7,2744.9,21,4
1340.5,1582.9,17,5
1800.2,328.5,22,3
1800.2,328.5,18,3
8547.1,2773.3,22,4
8547.1,2773.3,20,4
1907.2,1765.9,16,9
1907.2,1765.9,16,9
3566.8,3122,18,3
7059.4,4625.5,23,4
1097.2,1036.9,21,3
1097.2,1036.9,23,3
1977,2058.8,23,3
492.6,401.6,22,3
1754.8,1220.5,18,4
1754.8,1220.5,16,4
585.2,422.5,20,1
4638.1,2933,17,4
1695,1454.2,18,4
1695,1454.2,15,4
4632,1973.9,20,4
1744.6,1600,21,2
627.5,501.8,23,3
1768.2,833,17,4
3567.8,2721,18,3
2352.6,1272.6,17,3
1740.6,1497.4,15,3
1078.4,1012.5,18,3
1185.3,1120.1,22,3
1103.1,486.1,22,4
2646.1,1126,19,4
2363,698,21,5
2363,698,19,5
2023,5574.8,18,4
3474.1,4127.2,23,4
3474.1,4127.2,19,4
2186.9,1961.2,19,3
5299.7,5105.5,19,4
5299.7,5105.5,18,4
3399.8,2586.2,22,4
3399.8,2586.2,19,4
3254.8,2042.8,17,4
3254.8,2042.8,16,4
2328,2023.3,23,2
3627,3840.1,17,5
3627,3840.1,15,5
2415.6,1970,22,3
2415.6,1970,21,3
2378.9,1296.8,17,4
2225.8,2062.7,16,4
1093,970,17,3
1357.9,1392.5,15,4
2769.1,2280.7,15,4
1205.2,1282.3,18,6
1205.2,1282.3,16,6
1150.2,1002,22,2
1600.9,600.2,15,5
2550.8,1883,19,2
