CATEGORIA;CLASA;SEX;AGE;AGROUP;EDUC;OCUP;STAP;STAO;ACTP;INCOME
11;3;1;24;1;2;9629;1;1;7;0
9;3;2;49;4;3;5329;1;1;6;0
8;2;1;33;2;3;7521;1;1;2;0
9;3;1;24;1;3;8121;1;1;2;0
9;3;2;47;4;2;7531;1;1;2;0
11;3;1;40;3;5;9611;1;1;2;0
11;3;1;53;4;2;9313;1;1;3;10288.14
11;3;1;34;2;2;9611;1;1;2;6394
9;3;1;55;5;2;8172;1;1;2;0
9;3;1;34;2;1;8121;1;1;2;0
4;2;2;34;2;7;2412;1;1;2;28994.9988888889
9;3;1;36;3;3;5221;1;4;5;13713.71
11;3;1;40;3;2;9629;1;1;5;0
9;3;1;62;5;3;8322;1;1;6;13921.2
9;3;1;36;3;3;8189;1;1;2;0
9;3;1;54;4;2;8121;1;1;2;0
11;3;1;32;2;2;9629;1;1;5;0
9;3;1;30;2;1;8189;1;1;2;0
7;2;1;44;3;7;3313;1;1;6;28866.84
4;2;1;25;2;7;2142;1;1;3;29272.015
9;3;1;44;3;4;8182;1;1;2;0
9;3;2;41;3;5;8160;1;1;2;15885.72
4;2;1;28;2;7;2422;1;1;6;0
11;3;1;57;5;6;9629;1;1;5;0
9;3;1;30;2;7;5151;1;1;5;0
9;3;2;24;1;7;5230;1;4;5;0
7;2;1;53;4;1;3112;1;1;3;0
7;2;2;43;3;5;3313;1;1;6;14062.854
8;2;2;22;1;3;5132;1;4;5;0
1;1;1;42;3;7;1120;1;1;5;22111.29
6;2;2;38;3;7;2330;1;1;6;20411.9082352941
9;3;1;53;4;4;7549;1;1;2;0
6;2;2;49;4;6;2359;1;1;6;0
7;2;1;23;1;5;3511;1;1;5;4196
11;3;1;24;1;3;9611;1;1;2;0
11;3;2;21;1;1;9212;1;1;1;0
11;3;1;61;5;3;9629;1;1;2;0
9;3;2;38;3;2;5329;1;1;6;0
11;3;1;34;2;4;9329;1;1;2;12441.12
9;3;1;40;3;5;8322;1;1;2;15918.6877142857
6;2;2;21;1;5;2342;1;1;6;13643.45
8;2;1;53;4;4;7224;1;1;2;19694.21
9;3;2;53;4;3;8219;1;1;2;11798.79
9;3;2;31;2;3;7314;1;1;2;0
11;3;1;29;2;3;9629;1;1;2;11619.3
11;3;1;24;1;5;9629;1;1;2;0
6;2;2;58;5;7;2330;1;1;6;23311.43
9;3;1;41;3;5;7536;1;1;2;0
9;3;2;39;3;5;7536;1;1;2;0
6;2;1;25;2;7;2261;1;1;6;29605.55
11;3;1;52;4;3;9629;1;1;5;0
11;3;2;28;2;3;9629;1;1;2;0
11;3;1;24;1;3;9629;1;1;2;8989.88
9;3;2;33;2;3;5221;1;1;5;10794.9171428571
7;2;1;39;3;3;3116;1;1;2;0
11;3;2;51;4;4;9112;1;1;5;8720.28
8;2;1;50;4;3;5120;1;1;5;0
8;2;2;48;4;4;5120;1;1;5;15827.6614285714
9;3;1;51;4;4;5221;1;1;5;11276.435
9;3;2;52;4;4;5221;1;1;5;12946.2028571429
8;2;2;30;2;7;4120;1;1;5;14677.66
9;3;1;52;4;7;8331;1;1;2;0
9;3;2;43;3;5;7318;1;1;2;0
4;2;1;52;4;6;2141;1;1;2;0
9;3;2;49;4;4;7543;1;1;2;0
9;3;1;53;4;4;8331;1;1;4;14646.8233333333
9;3;2;22;1;4;7531;1;1;2;7200
8;2;1;21;1;5;7126;1;1;3;0
11;3;1;29;2;3;9629;1;1;2;11619.3
9;3;1;41;3;3;6111;1;4;1;3320
8;2;1;29;2;5;4419;1;1;6;0
11;3;1;56;5;3;9629;1;4;3;0
9;3;2;21;1;3;7531;1;1;2;8213.16
7;2;1;33;2;4;3116;1;1;2;0
9;3;1;24;1;3;7531;1;1;2;0
9;3;1;31;2;2;8189;1;1;2;0
11;3;2;28;2;2;9112;1;4;5;0
9;3;1;24;1;3;5221;3;2;5;12064
8;2;2;41;3;3;7521;1;4;2;0
11;3;1;43;3;5;5222;1;1;3;16938.92
9;3;1;46;4;5;7549;1;1;2;0
7;2;1;45;4;3;7511;1;1;2;0
9;3;2;44;3;4;5221;1;1;5;11863.7961538462
8;2;2;22;1;3;5132;1;4;5;0
9;3;2;41;3;3;5221;1;1;5;11352.3
4;2;1;27;2;7;2145;1;1;2;20852.2057142857
11;3;1;28;2;5;5414;1;1;5;13462.0442857143
9;3;2;27;2;5;7314;1;1;2;0
5;2;1;52;4;5;3322;1;1;5;12598.415
5;2;1;26;2;7;3322;1;1;5;16796.56
6;2;2;26;2;7;3343;1;1;5;0
7;2;2;30;2;7;3311;1;1;5;0
9;3;1;38;3;7;8154;1;1;2;0
4;2;1;38;3;7;2413;1;1;6;34651.84
4;2;2;37;3;7;2411;1;1;2;29789.712
6;2;1;37;3;5;4110;1;1;6;12898.5
8;2;2;34;2;5;5120;1;1;5;9820.86
8;2;1;43;3;5;7115;1;1;3;12451.44
8;2;2;44;3;5;7512;1;1;2;11661.09
9;3;2;37;3;5;5223;1;1;5;11154.21
9;3;1;39;3;4;8189;1;1;2;11042.88
9;3;1;51;4;5;7214;1;1;2;18257.218
9;3;2;44;3;5;7114;1;1;3;10263.48
8;2;1;28;2;7;7513;1;1;2;0
8;2;1;39;3;5;5412;1;1;6;14919.0025
9;3;1;25;2;4;7531;1;1;2;0
11;3;1;48;4;4;9520;3;2;5;12200
5;2;1;26;2;7;2611;1;1;7;25549.12
8;2;1;62;5;5;7513;1;1;2;0
7;2;2;59;5;5;7412;1;1;2;0
8;2;1;36;3;5;7126;1;4;3;19125.2
7;2;2;34;2;7;3333;1;1;2;0
9;3;1;36;3;5;8322;1;1;4;15918.6877142857
9;3;2;32;2;5;7531;1;1;2;11112.48
11;3;2;23;1;7;9333;1;1;5;0
7;2;1;23;1;7;7413;1;1;2;0
8;2;1;57;5;4;7213;3;2;2;0
9;3;2;54;4;4;6111;1;1;1;0
9;3;1;45;4;5;8332;1;1;2;18365.705
7;2;1;20;1;5;9122;1;1;5;0
9;3;1;32;2;5;8332;1;1;2;14107.2075
11;3;2;37;3;5;9629;1;1;2;2554.48
